Name			 Reference link			 Bio			 Courses Taught
Name:Samira Ghayekhloo			 Link:https://isearch.asu.edu/profile/3516139/			 Bio:Samira Ghayekhloo is a Assistant teaching professor at the School of Computing and Augmented Intelligence in Arizona State University-Tempe since Fall 2019. She earned her PhD in Artificial Intelligence and has over ten years of teaching experience in AI courses including Knowledge Representation, Expert Systems, Data Mining, and Machine Learning. Before joining ASU, Samira served as an Assistant Professor at Azad University, Iran, in the Department of Computer Engineering for three years. During her tenure, she mentored numerous graduate and undergraduate students and provided advisory guidance for their final projects. 			Course Taught:CSE 575Statistical Machine Learning, Course NumberCourse Title, CSE 579Knowledge Representation, CSE 511Data Processing at Scale, FSE 100Introduction to Engineering, CSE 572Data Mining, CSE 259Logic in Computer Science, CSE 578Data Visualization, ASU 101-CSEThe ASU Experience, CSE 580Practicum, ASU 101-CAIThe ASU Experience, CSE 565Software Verif/Validation/Test
Name:Jeffrey Goss			 Link:https://isearch.asu.edu/profile/475315			 Bio:Jeffrey Goss serves a multi-faceted role as Associate Vice Provost/SE Asia and as the Executive Director for the Office of Global Outreach and Extended Education and Assistant Dean in the Ira A. Fulton Schools of Engineering at Arizona State University. Mr. Goss has more than 25 years of experience in professional and executive education collectively at University of Maryland, George Washington University, University of Michigan, and Arizona State University. At ASU's Fulton School of Engineering, Mr. Goss leads Global Engagement, ASU Engineering Online graduate degree programs, and Executive/Professional Development programs. In this role, he has led the development of the engineering digital immersion capabilities which now offer over 15 online undergraduate and graduate degree certificates for over 7,000 learners. His research areas include global workforce development learning models and the development and application of new technologies and distributed-media-immersion models for adult learning. Since 2010, Mr. Goss has been the Principal Investigator/Project Director for a portfolio of STEM capacity projects in Vietnam with grants exceeding $30M through public-private partnerships with USAID, U.S. State Department, UKAID and industry. These include the Vietnam Higher Engineering Education Alliance Program (HEEAP); Vietnam Vocational-University Leadership Innovation Institute (VULII), BUILD-IT (Building University-Industry Learning and Development through Innovation and Technology); Youth in Southeast Asia Leadership Institutes and the Lower Mekong Initiative Young Scientist Program.  These projects collectively contribute to building a high-quality and innovative workforce by improving STEM K-12 and University programs through university-industry-government national and regional partnerships. He received his BS in Public Relations and Management from Central Michigan University (Mt. Pleasant, MI) and Master of Arts Degree in Higher Education Administration from George Washington University (Washington, DC). In 2015, he received a Honorary Doctorate from Ho Chi Minh University of Technology and Education recognizing his contributions to improving STEM Higher Education in Vietnam. Under Mr. Goss' direction, thousands of global engineering professionals from various corporate organizations have advanced their companies and employee's careers with training through executive seminars, certifications.  			Course Taught:
Name:Sandeep Gupta			 Link:https://isearch.asu.edu/profile/313263			 Bio:Sandeep Gupta received his doctorate from The Ohio State University in 1995. He is currently a professor and director of the School of Computing and Augmented Intelligence in the Ira A. Fulton Schools of Engineering. His areas of expertise include cyber-physical systems, green and sustainable computing, mobile and pervasive computing, and parallel and distributed computing.			Course Taught:CSE 493Honors Thesis, CEN 799Dissertation, CSE 535Mobile Computing, EEE 790Reading and Conference, EEE 592Research, MAE 599Thesis, EEE 690Reading and Conference, EEE 595Continuing Registration, EEE 492Honors Directed Study, EEE 795Continuing Registration, CSE 492Honors Directed Study, EEE 599Thesis, CEN 599Thesis, CEN 580Practicum, EEE 792Research, CSE 599Thesis, CSE 499Individualized Instruction, CEN 584Internship, CSE 590Reading and Conference, CEN 790Reading and Conference, CEN 795Continuing Registration, EEE 499Individualized Instruction, EEE 590Reading and Conference, EEE 493Honors Thesis, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration, CSE 584Internship, CSE 790Reading and Conference, Course NumberCourse Title, CEN 590Reading and Conference, EEE 799Dissertation, CSE 792Research, CEN 595Continuing Registration, CSE 799Dissertation, CEN 792Research
Name:Dianne Hansford			 Link:https://isearch.asu.edu/profile/28616			 Bio:Dianne Hansford is an Assistant Teaching Professor in the School of Computing and Augmented Intelligence (SCAI). She regularly teaches geometric modeling, computer graphics, math for informatics, and other fundamental courses in the informatics program. Dianne's research interests are in the fields of geometric modeling and scientific visualization. The focus of her work has been on industrial curve and surface applications related to mathematical definitions of shape. She has applied this work as a consultant in the CAD/CAM industry and co-founded 3D Compression Technologies. With Gerald Farin, Hansford has co-authored three books "The Essentials of CAGD," "Practical Linear Algebra A Geometry Toolbox" and "Mathematical Principles for Scientific Computing and Visualization." Dianne was an ARCS Scholar and Fulbright Research Scholar in Germany. She is a member of the Society of Industrial and Applied Mathematicians (SIAM), Sigma Xi Research Society, the Fulbright Association, Upsilon Pi Epsilon Computer Science Honor Society.			Course Taught:CSE 493Honors Thesis, CPI 200Math Foundation of Informatics, CSE 492Honors Directed Study, CPI 499Individualized Instruction, CSE 790Reading and Conference, Course NumberCourse Title, CSE 470Computer Graphics, CPI 101Introduction to Informatics, CSE 570Advanced Computer Graphics I, SER 590Reading and Conference, ASU 101-CSEThe ASU Experience, CSE 477Intro Computer-Aided Geom Desg, CSE 301Computing Ethics, CSE 580Practicum, CPI 220App Data Struct and Algorithms
Name:Rakibul Hasan			 Link:https://isearch.asu.edu/profile/3982178			 Bio:I am an assistant professor in the School of Computing and Augmented Intelligence at ASU.			Course Taught:CSE 598Special Topics, Course NumberCourse Title, DSE 580Practicum, SER 599Thesis, CSE 467Data & Information Security, CSE 792Research, CSE 580Practicum, ASU 101-CAIThe ASU Experience
Name:Zilin Jiang			 Link:https://isearch.asu.edu/profile/3691673			 Bio:			Course Taught:MAT 512Introduction to Combinatorics, CSE 598Special Topics, MAT 415Introduction to Combinatorics, MAT 598Special Topics, Course NumberCourse Title, MAT 591Seminar, MAT 445Theory of Numbers, CSE 552Random&Approximation Algorithm, MAT 516Graph Theory I, CSE 580Practicum
Name:Subbarao Kambhampati			 Link:https://isearch.asu.edu/profile/95646			 Bio:Subbarao Kambhampati is a professor of computer science at Arizona State University. Kambhampati studies fundamental problems in planning and decision making, motivated in particular by the challenges of human-aware AI systems. He is a fellow of Association for the Advancement of Artificial Intelligence, American Association for the Advancement of Science,  and Association for Computing machinery, and was an NSF Young Investigator. He was the president of the Association for the Advancement of Artificial Intelligence, trustee of International Joint Conference on Artificial Intelligence, and a founding board member of Partnership on AI. Kambhampati’s research as well as his views on the progress and societal impacts of AI have been featured in multiple national and international media outlets. He writes a column on the societal and policy implications of the advances in Artificial Intelligence for The Hill. URL rakaposhi.eas.asu.edu Twitter @rao2z He can be followed on Twitter @rao2z.			Course Taught:CSE 493Honors Thesis, CEN 799Dissertation, HON 294Special Topics, CSE 492Honors Directed Study, CEN 599Thesis, CEN 580Practicum, CSE 599Thesis, CSE 499Individualized Instruction, CEN 584Internship, CSE 590Reading and Conference, CSE 574Planning/Learning Methods AI, CEN 790Reading and Conference, CEN 795Continuing Registration, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration, CSE 584Internship, CSE 790Reading and Conference, Course NumberCourse Title, CEN 590Reading and Conference, CSE 591Seminar, CSE 471Intro Artificial Intelligence, CSE 792Research, CSE 799Dissertation, CSE 571Artificial Intelligence, CEN 792Research
Name:Michel A. Kinsy			 Link:https://isearch.asu.edu/profile/472846			 Bio:Michel Kinsy is an associate professor in the School of Computing and Augmented Intelligence and the director of the Secure, Trusted, and Assured Microelectronics Center. He focuses his research on microelectronics security, secure processors and systems design, hardware security, and efficient hardware design and implementation of post-quantum cryptography systems. Kinsy is an MIT Presidential Fellow and a CRA-WP Inaugural Skip Ellis Career Award recipient.			Course Taught:CSE 598Special Topics, CEN 799Dissertation, CEN 598Special Topics, CSE 420Computer Architecture I, EEE 599Thesis, CEN 599Thesis, CEN 580Practicum, CSE 599Thesis, CSE 590Reading and Conference, CEN 790Reading and Conference, EEE 590Reading and Conference, CSE 580Practicum, CSE 584Internship, CEN 690Reading and Conference, CSE 790Reading and Conference, Course NumberCourse Title, CSE 792Research, CSE 799Dissertation, CEN 792Research
Name:Yoshihiro Kobayashi			 Link:https://isearch.asu.edu/profile/325953			 Bio:Yoshihiro Kobayashi received doctorate from University of California-Los Angeles in 2001 - majoring in architecture with a minor in computer science. His research focuses on 3D city modeling using soft computing and photogrammetry technologies. He has practical experiences as an architect, computer animation designer and senior software programmer. He is a senior lecturer in the School of Computing and Augmented Intelligence  (SCAI) at Arizona State University. At ASU, he completed several interdisciplinary research projects funded with more than $100K and advised master's and doctoral students from the architecture, urban planning, design and art, electric engineering and computer science programs. Outside of ASU, Kobayashi has chaired several symposiums and workshops and also organized an international research group with 16 professors who are exploring methods for virtual reality (VR) urban modeling and visualization. He has published more than 50 technical and design papers on design computation in architecture. Kobayashi currently teaches game development courses as a focal coordinator for the Game Certificate program at SCAI.			Course Taught:CSE 493Honors Thesis, CSE 205Object-Oriented Program & Data, FSE 394Special Topics, CPI 441Gaming Capstone, CPI 499Individualized Instruction, CSE 492Honors Directed Study, CSE 110Principles of Programming, CPI 111Game Development I, CSE 499Individualized Instruction, CSE 593Applied Project, CPI 4213-D Modeling and Texturing, CSE 100Prin of Programming with C++, CSE 580Practicum, CPI 311Game Engine Development, Course NumberCourse Title, CPI 411Graphics for Games, CEN 590Reading and Conference, ASU 101-CSEThe ASU Experience, CPI 321Fundamentals of Game Art
Name:Heewook Lee			 Link:https://isearch.asu.edu/profile/3505050/			 Bio:Heewook Lee is an assistant professor in the School of Computing and Augmented Intelligence and the Biodesign Institute’s Center for Biocomputing, Security and Society. His research interest lies broadly in computational biology, focusing on genetic variation. His current research develops computational techniques to study largely varying types of immunological components in organisms. Prior to joining ASU, he was a Lane Fellow in the School of Computer Science at Carnegie Mellon University.			Course Taught:CSE 493Honors Thesis, CSE 598Special Topics, CSE 492Honors Directed Study, CSE 559Algorithms in Computation Bio, CSE 590Reading and Conference, CSE 790Reading and Conference, CSE 494Special Topics, Course NumberCourse Title, CSE 355Intro Theoretical Computer Sci, CSE 599Thesis, CSE 499Individualized Instruction, CSE 792Research, CSE 799Dissertation, CSE 580Practicum
Name:Joohyung Lee			 Link:https://isearch.asu.edu/profile/841979			 Bio:Associate Professor Joohyung Lee joined the School of Computing and Augmented Intelligence at Arizona State University in 2005 after receiving his doctorate from the University of Texas at Austin. His research is in Artificial Intelligence. He is interested in designing and building intelligent systems, which can perform automated reasoning based on the knowledge represented in formal languages, handling open-ended tasks intelligently by “thinking.” He is leading the Automated Reasoning Group at ASU, whose research has been continuously supported by National Science Foundation, DTO, IARPA and ETRI.			Course Taught:CSE 584Internship, CSE 590Reading and Conference, CSE 790Reading and Conference, Course NumberCourse Title, CEN 599Thesis, CSE 259Logic in Computer Science, CSE 599Thesis, CEN 584Internship, CSE 792Research, CSE 799Dissertation, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration
Name:Kookjin Lee			 Link:https://isearch.asu.edu/profile/3957975			 Bio:Kookjin Lee is an assistant professor in the School of Computing and Augmented Intelligence. He studies scientific machine learning, an interdisciplinary area including deep learning, computational physics and applied mathematics. In particular, he is interested in deep learning for dynamical systems and spatiotemporal process modeling. One of his papers has been recognized as one of the best cited papers in a premier computational physics journal in 2020.			Course Taught:CSE 584Internship, CSE 575Statistical Machine Learning, CSE 475Found of Machine Learning, Course NumberCourse Title, CSE 792Research, CSE 599Thesis, DSE 792Research, CSE 590Reading and Conference, CSE 595Continuing Registration, CSE 580Practicum
Name:William Lewis			 Link:https://isearch.asu.edu/profile/60335			 Bio:Bill Lewis joined Arizona State University in 1965 and became the founding chair of the Department of Computer Science and Engineering in the fall of 1980. He assumed the role of associate dean of the College of Engineering and Applied Sciences in the fall of 1985. In July 1993, he accepted the position of vice provost for information technology. Lewis assumed the position of Chief Information Officer and vice provost in January of 2003 and continued in that position until June 2006. Lewis is currently CIO Emeritus Professor in the School of Computing, Informatics and Decision Systems Engineering at ASU.			Course Taught:
Name:Huan Liu			 Link:https://isearch.asu.edu/profile/255975			 Bio:Dr. Huan Liu is a Regents professor of computer science and engineering with the School of Computing and Augmented Intelligence in the Ira A. Fulton Schools of Engineering, at Arizona State University. He obtained his Ph.D. in Computer Science at University of Southern California and B.Eng. in Computer Science and Electrical Engineering at Shanghai JiaoTong University. Before he joined ASU, he worked at Telecom Australia Research Labs and was on the faculty at National University of Singapore. At Arizona State University, he was recognized for excellence in teaching and research in Computer Science and Engineering and received the 2014 President's Award for Innovation. His research interests are in data mining, machine learning, social computing, and artificial intelligence, investigating interdisciplinary problems that arise in many real-world, data-intensive applications with high-dimensional data of disparate forms such as social media. His well-cited publications include books, book chapters, encyclopedia entries as well as conference and journal papers. He is a co-author of a text, Social Media Mining: An Introduction, Cambridge University Press. He is a founding organizer of the International Conference Series on Social Computing, Behavioral-Cultural Modeling, and Prediction, and Chief Editor of Data Mining and Management in Frontiers in Big Data. He is a Fellow of ACM, AAAI, AAAS, and IEEE. 			Course Taught:CSE 493Honors Thesis, CEN 799Dissertation, CSE 472Social Media Mining, CSE 492Honors Directed Study, CEN 580Practicum, CSE 599Thesis, CSE 499Individualized Instruction, CEN 584Internship, CSE 590Reading and Conference, CEN 790Reading and Conference, CEN 795Continuing Registration, DSE 792Research, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration, CSE 584Internship, CSE 790Reading and Conference, Course NumberCourse Title, CSE 792Research, CSE 799Dissertation, CEN 792Research
Name:Ross Maciejewski			 Link:https://isearch.asu.edu/profile/1783228			 Bio:Ross Maciejewski is an Ira A. Fulton Professor of Computer Science at Arizona State University in the School of Computing and Augmented Intelligence and director of the Center for Accelerating Operational Efficiency – a Department of Homeland Security Center of Excellence. His primary research interests are in the areas of geographical visualization and visual analytics focusing on homeland security, public health, dietary analysis, social media, criminal incident reports, and the food-energy-water nexus.  He has served on the organizing committees for the IEEE Conference on Visual Analytics Science and Technology and the IEEE/VGTC EuroVis Conference. Maciejewski is a recipient of an NSF CAREER Award (2014) and was recently named a Fulton Faculty Exemplar and Global Security Fellow at Arizona State. His work has been recognized through a variety of awards at the IEEE Visual Analytics Contest (2010, 2013, 2015), a best paper award in EuroVis 2017, and two honorable mentions at ACM CHI (2018, 2022).			Course Taught:CSE 493Honors Thesis, IEE 580Practicum, CSE 492Honors Directed Study, CSE 691Seminar, CEN 580Practicum, CSE 599Thesis, CSE 499Individualized Instruction, FSE 294Special Topics, CSE 590Reading and Conference, CEN 790Reading and Conference, SER 580Practicum, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration, CSE 584Internship, IEE 792Research, CSE 790Reading and Conference, Course NumberCourse Title, IEE 584Internship, CSE 792Research, CSE 799Dissertation, CEN 792Research
Name:Gerald Mackulak			 Link:https://isearch.asu.edu/profile/10287			 Bio:Gerald Mackulak is an Emeritus Professor in the School of Computing, Informatics and Decision Systems Engineering in the Ira A. Fulton Schools of Engineering. He has held positions with the simulation consulting firm of Pritsker & Associates, with Burroughs Corporation as the corporate MIS analyst responsible for the MRP and parts ordering systems, and with U.S. Steel as an industrial engineer. He has also served as the executive associate chair for the Department of Industrial Engineering at ASU. He has a wide range of research and consulting experience having worked with Ernst & Young, Motorola, Digital Equipment, American Express, Bechtel Corp., SGS Semiconductor and Arco Solar, to name a few. Mackulak's major research interest is in the methodological approach for producing efficient simulation models, including both model abstraction and output analysis.			Course Taught:
Name:Ryan Meuth			 Link:https://isearch.asu.edu/profile/2203687			 Bio:Ryan Meuth has been teaching at Arizona State University in the Fulton Schools of Engineering since 2013, with a focusing on Freshman Engineering and the first year experience. Since then, he has additionally served as the course coordinator for the CSE Capstone Program, ASU101-CSE, and FSE100-CSE. Meuth currently serves as a member of the First Year Programming teaching team that develops and supervises all sections and modalities of CSE110 - Principles of Programming and CSE205 - Object Oriented Programming and Data structures. Meuth was awarded the Top 5% Teaching Award in 2014, 2015, 2016, and 2020 as well as the Spirit of EPICS award in Spring 2015. Meuth's research interests are focused on the computer science classroom experience, and how this can be improved for all students. 			Course Taught:CSE 493Honors Thesis, CSE 424Systems Capstone Project II, CSE 205Object-Oriented Program & Data, CSE 423Systems Capstone Project I, CSE 492Honors Directed Study, CSE 486Computer Sci Capstone Proj II, Course NumberCourse Title, CSE 110Principles of Programming, SER 580Practicum, FSE 100Introduction to Engineering, CEN 580Practicum, CPI 486Informatics Capstone II, CSE 325Embedded Microprocessor System, CSE 499Individualized Instruction, IEE 580Practicum, CSE 485Computer Sci Capstone Proj I, CPI 485Informatics Capstone I, CSE 580Practicum
Name:Katina Michael			 Link:https://isearch.asu.edu/profile/3298186/			 Bio:Katina Michael is a professor in the School for the Future of Innovation in Society and School of Computing and Augmented Intelligence at Arizona State University. Previously Michael was associate dean international at the University of Wollongong (UOW), Australia, where she was employed in the School of Computing and Information Technology since 2002. She has held visiting academic appointments at Nanjing University (China) and the University of Southampton (U.K.) and has taught at the Singapore Institute of Management, as well as overseeing UOW engineering and information science courses in eight campuses in five countries. She was previously employed as a senior network engineer at Nortel Networks (1996–2001). She has also worked as a systems analyst at Andersen Consulting (1996) and OTIS Elevator Company (1994). Michael has published six edited books, as well as coauthored two 500-page reference volumes: "Innovative Automatic Identification and Location Based Services: from Bar Codes to Chip Implants," co-authored with MG Michael (Hershey, PA: IGI, 2009), and "Uberveillance: Social Implications" (Hershey, PA: IGI, 2014), co-edited with MG Michael. She has written more than 200 peer-reviewed papers. She researches predominantly in the area of emerging technologies, and has secondary interests in technologies used for national security and their corresponding social implications. Katina has been the guest editor of fourteen special issues including the Proceedings of the IEEE, Computer, IEEE Robotics & Automation Magazine, IEEE Potentials, Journal of Location-Based Services, Computer Communications, Electronic Commerce Research, and Prometheus. She was the editor-in-chief of the IEEE Technology and Society Magazine (2012-2017), and has been senior editor for IEEE Consumer Electronics Magazine since 2015. In 2017, Michael was awarded the Brian M. O’Connell Distinguished Service Award from the Society for the Social Implications of Technology. She is the founding editor-in-chief of the IEEE Transactions on Technology and Society, which will be launched in 2020.			Course Taught:CSE 493Honors Thesis, CSE 598Special Topics, PIT 593Applied Project, CSE 492Honors Directed Study, FIS 111Welcome to the Future, HSD 598Special Topics, Course NumberCourse Title, PIT 595Continuing Registration, CSE 599Thesis, PIT 502Co-Designing the Future, PIT 590Reading and Conference, PIT 501Prin PublicInterest Technology
Name:Ariane Middel			 Link:https://isearch.asu.edu/profile/854979			 Bio:Ariane Middel’s research interests lie in the interdisciplinary field of urban climate with focus on climate-sensitive urban form, design, landscapes, and infrastructure in the face of extreme heat and climatic uncertainty. For the past decade, Middel has advanced the field of urban climate science through applied and solutions-oriented research employing quantitative and qualitative field observations, local and microscale climate modeling, and geovisualization to investigate sustainability challenges related to heat, thermal comfort, Urban Heat Islands, water use, energy use, and human-climate interactions in cities. Her ongoing research is focused on developing better models and metrics to quantify urban heatscapes as they are experienced by pedestrians. She currently develops a thermal comfort model based on an innovative big data approach using Street View data, deep learning, and novel environmental sensing techniques such as the biometeorological MaRTy cart. Middel directs the SHaDE Lab at ASU and is an active member of the Urban Climate Research Center (UCRC) and the Central Arizona–Phoenix Long-Term Ecological Research (CAP LTER) program. She is the President of the International Association of Urban Climate (IAUC), the premier international organization for researchers engaged in all aspects of urban climate scholarship. She is also a Board member of the American Meteorological Society (AMS) Built Environment (BUE), a member of the International Society of Biometeorology (ISB), and the Institute of Electrical and Electronics Engineers (IEEE). Middel joined the School of Arts, Media and Engineering (AME) as an assistant professor in 2018. She has a joint appointment with the School of Computing and Augmented Intelligence (SCAI). Previously, she was an assistant professor in the Department of Geography and Urban Studies at Temple University and an assistant research professor with the School of Geographical Sciences and Urban Planning at ASU. She received her doctorate in computer science (visualization) from a German National Science Foundation-funded international graduate school at University of Kaiserslautern, Germany and holds bachelor's and master's degrees in engineering from University of Bonn, Germany.			Course Taught:CSE 205Object-Oriented Program & Data, AME 593Applied Project, SOS 792Research, AME 592Research, SOS 598Special Topics, AME 595Continuing Registration, AME 485Digital Culture Capstone I, CSE 492Honors Directed Study, CSE 599Thesis, SOS 494Special Topics, GPH 394Special Topics, GPH 598Special Topics, EPD 799Dissertation, CSE 595Continuing Registration, SOS 799Dissertation, AME 598Special Topics, AME 486Digital Culture Capstone II, AME 494Special Topics, Course NumberCourse Title, GPH 494Special Topics, CSE 591Seminar, CSE 792Research, SOS 499Individualized Instruction, AME 394Special Topics
Name:Phill Miller			 Link:https://isearch.asu.edu/profile/2224799			 Bio:Phill Miller joined the Fulton Schools of  Engineering at Arizona State University in 2014 after teaching computer science and software engineering courses for 14 years at the University of Advancing Technology in Tempe, AZ .			Course Taught:CSE 493Honors Thesis, CSE 205Object-Oriented Program & Data, CSE 492Honors Directed Study, Course NumberCourse Title, CSE 110Principles of Programming, FSE 100Introduction to Engineering, ASU 101-CSEThe ASU Experience, CSE 580Practicum
Name:Gregory Nielson			 Link:https://isearch.asu.edu/profile/72612			 Bio:Gregory M. Nielson has been affiliated with the School of Mathematics and Statistical Sciences since 1970 and is an Emeritus Professor from the School of Computing, Informatics and Decision Systems Engineering at Arizona State University, which he joined in 1983. His research has been continuously funded since his first Office of Naval Research Grant to ASU in 1972.  His research and professional contributions continue to be highly regarded and cited ( "Gregory M. Nielson" into Google usually results in more than one half million hits) Based upon professional statistics (ref. google scholar), Professor Nielson is in the top five percent in all three of the research areas of Visualization, Computer Graphics and Numerical Analysis and in the top 10 percent in the research area of Geometric Modeling. Nielson graduated from Richfield, Utah High School in 1961.* He received his bachelor's degree in 1965 from the University of Utah and imeditately began teaching university courses in mathematics that very same year.  In 1970, he obtained a doctorate and that same year started his teaching and researching career at ASU. *BTW, the number 1961 is strobogrammatic which means that Prof. Nielson can wear his high school ring either way and the year reads correctly for both him and others! The next graduating class that can do this will be in the year 6009! (Possibly Prof. Nielson's Great^160 grandchild will wear such a ring!).			Course Taught:CSE 590Reading and Conference, CSE 790Reading and Conference, Course NumberCourse Title, CSE 599Thesis, CSE 792Research, CSE 799Dissertation, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration
Name:Sethuraman Panchanathan			 Link:https://isearch.asu.edu/profile/88253			 Bio:In June, 2020, Dr. Sethuraman “Panch” Panchanathan was appointed by U.S. President Donald Trump as Director of the National Science Foundation. Panch previously spent more than 20 years in leadership positions at Arizona State University, including service as Executive Vice President of ASU’s Knowledge Enterprise and Chief Research and Technology Officer for ASU. He is officially on an extended leave of absence from the university as he devotes his time to advancing the U.S. science and technology agenda on a national and global scale.			Course Taught:CSE 493Honors Thesis, CEN 799Dissertation, EEE 595Continuing Registration, CSE 492Honors Directed Study, EEE 599Thesis, CEN 599Thesis, CEN 580Practicum, CSE 599Thesis, CSE 499Individualized Instruction, CEN 584Internship, CSE 590Reading and Conference, CEN 795Continuing Registration, EGR 592Research, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration, CSE 584Internship, CSE 790Reading and Conference, Course NumberCourse Title, CEN 590Reading and Conference, CSE 792Research, CSE 799Dissertation, CEN 792Research
Name:David Pheanis			 Link:https://isearch.asu.edu/profile/77201			 Bio:David Pheanis is an Emeritus Professor and was one of the founding faculty members of the Department of Computer Science and Engineering (now the School of Computing, Informatics, and Decision Systems Engineering). He taught the microprocessor courses until his retirement from active teaching in 2004. He is the founder and principal of Western Microsystems, and he does research and development in embedded systems, real-time data acquisition and VoIP.			Course Taught:
Name:Fengbo Ren			 Link:https://isearch.asu.edu/profile/2436287			 Bio:Fengbo Ren received a bachelor's degree in electrical engineering from Zhejiang University in 2008, and his master's and doctoral degrees in electrical engineering from the University of California, Los Angeles, in 2010 and 2014, respectively. He is an Associate Professor in the School of Computing and Augmented Intelligence at Arizona State University. He is directing the Parallel Systems and Computing Laboratory (PSCLab), and he is affiliated with the NSF Industry/University Cooperative Research Center for Embedded Systems. His current research interests are focused on algorithm, hardware, and system innovations for data analytics and information processing, with emphasis on bringing energy efficiency and data intelligence into a wide spectrum of today’s computing infrastructures, from data center server systems to wearable and Internet-of-things devices. He is a senior member of both IEEE and ACM. He is a member of the Digital Signal Processing Technical Committee and VLSI Systems & Applications Technical Committee of the IEEE Circuits and Systems Society. Ren received the Broadcom Fellowship in 2012, the prestigious National Science Foundation (NSF) Faculty Early Career Development (CAREER) Award in 2017, the Google Faculty Research Award in 2018. He also received the Top 5 percent Best Teacher Awards from the Fulton Schools of Engineering at ASU in 2017, 2018, and 2019.			Course Taught:CSE 493Honors Thesis, CEN 799Dissertation, EEE 592Research, EEE 690Reading and Conference, CEN 598Special Topics, CSE 492Honors Directed Study, EEE 599Thesis, CEN 599Thesis, CEN 580Practicum, CEN 584Internship, CEN 790Reading and Conference, CSE 320Design/Syn Digital Hardware, CEN 795Continuing Registration, EEE 590Reading and Conference, CSE 580Practicum, CSE 795Continuing Registration, CSE 584Internship, CEN 571Hardware Accele and FPGA Compu, CSE 790Reading and Conference, Course NumberCourse Title, CEN 590Reading and Conference, CSE 792Research, CEN 595Continuing Registration, CSE 799Dissertation, CEN 792Research
Name:Andrea Richa			 Link:https://isearch.asu.edu/profile/198256			 Bio:Professor Andrea W. Richa joined Arizona State University (ASU) in 1998. She is currently an Associate Faculty at the Biodesign Institute Center for Biocomputation, Security and Society, CHART at the Global Security Initiative, and the Biomimicry Center at ASU. Professor Richa’s main areas of expertise are in distributed/network algorithms and computing in general. More recently, she has focused on developing the algorithmic foundations on what has been coined as programmable matter, through her work on self-organizing particle systems (SOPS) (see sops.engineering.asu.edu ). Her work has been widely cited, and includes, besides SOPS,  work on bio-inspired distributed algorithms, distributed load balancing, packet routing, wireless network modeling and topology control, wireless jamming, data mule networks, underwater optical networking, and distributed hash tables (DHTs). Richa received the 2017 Best Senior Researcher award from the School of Computing and Augmented Intelligence (SCAI) and the 2021 ASU Faculty Women's Association (FWA) Outstanding Faculty Mentor Award. She was the recipient of an NSF CAREER Award in 1999, an associate editor of IEEE Transactions on Mobile Computing, and the keynote speaker and program\general chair of several prestigious conferences. In particular, Professor Richa was the Program Committee chair of the 31st International Symposium on Distributed Computing (DISC), 2017, one of the top two conferences in distributed computing. Richa has also delivered several invited talks both nationally and internationally. In 2022, Richa was named President's Professor, one of the highest honors at Arizona State University.			Course Taught:CSE 493Honors Thesis, CSE 598Special Topics, CSE 551Foundations of Algorithms, CSE 492Honors Directed Study, CSE 552Random&Approximation Algorithm, CEN 599Thesis, CSE 599Thesis, CSE 499Individualized Instruction, CEN 584Internship, CSE 590Reading and Conference, CSE 450Design&Analysis of Algorithms, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration, CSE 584Internship, CSE 790Reading and Conference, Course NumberCourse Title, CSE 550Combinatorial Algorithms/Intrt, CSE 792Research, CSE 799Dissertation
Name:Hessam Sarjoughian			 Link:https://isearch.asu.edu/profile/333046			 Bio:Hessam Sarjoughian is an associate professor of computer science and computer engineering in the School of Computing and Augmented Intelligence. His research has been funded by NSF, Northrop Grumman, Lockheed Martin, Intel, and Boeing at ASU. Prior to ASU, his research was supported by DARPA and NSF. Dr. Sarjoughian's professional engineering experience has been with Honeywell and IBM, spanning nearly five years. He has been integral to interdisciplinary and transdisciplinary national and international projects. Sarjoughian has been leading and developing modeling and simulation frameworks and tools at ASU, including the flagship DEVS-Suite simulator, serving research and development at the science and engineering frontiers. His research has received four Technical Best-Paper Awards, two Runner-up Technical Best-Paper Awards, and the Best Poster Award at the 2020 Winter Simulation Conference. Sarjoughian has graduated more than sixty masters and doctoral students in Computer Science and Computer Engineering. He co-directs the Arizona Center for Integrative Modeling and Simulation.			Course Taught:CSE 493Honors Thesis, CSE 460Software Analysis and Design, SER 590Reading and Conference, CSE 564Software Design, CSE 492Honors Directed Study, CEN 580Practicum, CSE 599Thesis, CSE 593Applied Project, CEN 584Internship, CSE 590Reading and Conference, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration, CSE 584Internship, CSE 790Reading and Conference, Course NumberCourse Title, CSE 561Modeling/Simulation Theory/App, CSE 792Research, CSE 563Software Requirements and Spec, CSE 799Dissertation, SER 460Software Analysis and Design, CEN 792Research
